name	smiles	source
Amifostine	NCCCNCCSP(=O)(O)O	HIPS/molecule-autoencoder all_drugs.smi
Amiloride	NC(N)=NC(=O)c1nc(Cl)c(N)nc1N	HIPS/molecule-autoencoder all_drugs.smi
Aminocaproic	NCCCCCC(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Aminoglutethimide	CCC1(c2ccc(N)cc2)CCC(=O)NC1=O	HIPS/molecule-autoencoder all_drugs.smi
Aminohippurate	Nc1ccc(C(=O)NCC(=O)O)cc1	HIPS/molecule-autoencoder all_drugs.smi
Aminolevulinic	NCC(=O)CCC(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Aminophenazone	Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C	HIPS/molecule-autoencoder all_drugs.smi
Aminophylline	Cn1c(=O)c2[nH]cnc2n(C)c1=O	HIPS/molecule-autoencoder all_drugs.smi
Aminosalicylic	Nc1ccc(C(=O)O)c(O)c1	HIPS/molecule-autoencoder all_drugs.smi
Amisulpride	CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC	HIPS/molecule-autoencoder all_drugs.smi
Amitriptyline	CN(C)CCC=C1c2ccccc2CCc2ccccc21	HIPS/molecule-autoencoder all_drugs.smi
Amlexanox	CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1	HIPS/molecule-autoencoder all_drugs.smi
Amlodipine	CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl	HIPS/molecule-autoencoder all_drugs.smi
Amobarbital	CCC1(CCC(C)C)C(=O)NC(=O)NC1=O	HIPS/molecule-autoencoder all_drugs.smi
Amodiaquine	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	HIPS/molecule-autoencoder all_drugs.smi
Amoxapine	Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2	HIPS/molecule-autoencoder all_drugs.smi
Amoxicillin	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Amphetamine	CC(N)Cc1ccccc1	HIPS/molecule-autoencoder all_drugs.smi
Ampicillin	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O	HIPS/molecule-autoencoder all_drugs.smi
Amrinone	Nc1cc(-c2ccncc2)c[nH]c1=O	HIPS/molecule-autoencoder all_drugs.smi
Amsacrine	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12	HIPS/molecule-autoencoder all_drugs.smi
Anagrelide	O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1	HIPS/molecule-autoencoder all_drugs.smi
Anastrozole	CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1	HIPS/molecule-autoencoder all_drugs.smi
Anileridine	CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1	HIPS/molecule-autoencoder all_drugs.smi
Anisindione	COc1ccc(C2C(=O)c3ccccc3C2=O)cc1	HIPS/molecule-autoencoder all_drugs.smi
Antazoline	c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1	HIPS/molecule-autoencoder all_drugs.smi
